url,fileTypes
https://discover.data.vic.gov.au/dataset/car-parks-locations-in-city-of-casey,csv; json; geojson; kml; shp; xls
https://discover.data.vic.gov.au/dataset/school-crossing-locations-in-city-of-casey,csv; json; geojson; kml; shp; xls
https://discover.data.vic.gov.au/dataset/public-drinking-fountain-locations,csv; json; geojson; kml; shp; xls
https://discover.data.vic.gov.au/dataset/locations-of-dog-friendly-spaces,csv; json; geojson; kml; shp; xls
https://discover.data.vic.gov.au/dataset/family-maternal-child-health-centre-locations,csv; json; geojson; kml; shp; xls
https://discover.data.vic.gov.au/dataset/playgroup-locations-in-casey,csv; json; geojson; kml; shp; xls
https://discover.data.vic.gov.au/dataset/public-artwork-in-city-of-casey,csv; json; geojson; kml; shp; xls
https://discover.data.vic.gov.au/dataset/kindergarten-locations-in-city-of-casey,csv; json; geojson; kml; shp; xls
https://discover.data.vic.gov.au/dataset/equestrian-trail-routes,csv; json; geojson; kml; shp; xls
https://discover.data.vic.gov.au/dataset/public-playground-locations,csv; json; geojson; kml; shp; xls
https://discover.data.vic.gov.au/dataset/customer-service-centre-locations,csv; json; geojson; kml; shp; xls
https://discover.data.vic.gov.au/dataset/bmx-and-skate-park-locations,csv; json; geojson; kml; shp; xls
https://discover.data.vic.gov.au/dataset/public-dog-bag-dispenser-locations,csv; json; geojson; kml; shp; xls
https://discover.data.vic.gov.au/dataset/public-toilet-locations,csv; json; geojson; kml; shp; xls
https://discover.data.vic.gov.au/dataset/bushfire-place-last-resort-area,csv; json; geojson; kml; shp; xls
https://discover.data.vic.gov.au/dataset/footpaths-in-city-of-casey,csv; json; geojson; kml; shp; xls
https://discover.data.vic.gov.au/dataset/monthly-public-transport-patronage-by-mode,csv
https://discover.data.vic.gov.au/dataset/monthly-average-patronage-by-day-type-and-by-mode,csv
https://discover.data.vic.gov.au/dataset/original-exploration-licence-area-at-the-time-it-was-first-granted,dwg; dxf; gdb; shp; mif; tab; extended tab; wms; wfs
https://discover.data.vic.gov.au/dataset/frankston-city-council-playgrounds,csv; json; geojson; kml; shp; xls
https://discover.data.vic.gov.au/dataset/vicmap-crown-land-tenure-crown-land-management-tenure-table,gdb; shp; mif; tab; extended tab
https://discover.data.vic.gov.au/dataset/vicmap-property-road-casement-polygon,dwg; dxf; gdb; shp; mif; tab; extended tab; wms; wfs
https://discover.data.vic.gov.au/dataset/vicmap-property-property-table,gdb; shp; mif; tab; extended tab
